property_name,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,additionalRoom,address,floorNum,facing,agePossession,nearbyLocations,description,furnishDetails,features,rating
Sri Balaji Residency,Apartment,Sri Balaji Enclave,4500000,3500,1285,Super built-up Area,2,2,1,1,"Tirumala Bypass Road, Tirupati",2,East,Ready to move,"TTD, SVIMS Hospital, Shopping Complex","2 BHK apartment with modern amenities",Semi-Furnished,"Lift, Security, Power Backup",4.2
Sapthagiri Heights,Apartment,Sapthagiri Complex,6000000,4000,1500,Super built-up Area,3,2,2,1,"Air Bypass Road, Tirupati",3,North-East,Ready to move,"Railway Station, Bus Stand, Market","Spacious 3 BHK with good ventilation",Fully-Furnished,"Gym, Swimming Pool, Club House",4.5
Venkatadri Towers,Apartment,Venkatadri Estate,3800000,3200,1190,Super built-up Area,2,2,1,0,"Karakambadi Road, Tirupati",1,South,Ready to move,"Schools, Colleges, Hospitals","Well-maintained 2 BHK apartment",Semi-Furnished,"24x7 Security, Car Parking",4.0
Sri Padmavati Villa,Villa,Sri Padmavati Township,9500000,4500,2100,Plot Area,4,3,2,2,"Renigunta Road, Tirupati",0,East,Ready to move,"Airport, Shopping Mall, Temple","Luxurious 4 BHK villa with garden",Fully-Furnished,"Garden, Modular Kitchen, CCTV",4.8
Alipiri Residency,Apartment,Alipiri Complex,3200000,3000,1065,Super built-up Area,2,1,1,0,"Alipiri Road, Tirupati",4,West,Ready to move,"Tirumala Footpath, Bus Stop","Affordable 2 BHK with basic amenities",Unfurnished,"Water Supply, Power Backup",3.9
Tirumala View Homes,Apartment,Tirumala View Society,5200000,3800,1370,Super built-up Area,3,2,1,1,"Kapila Theertham Road, Tirupati",5,North,Ready to move,"Temple, Market, Park","3 BHK with temple view",Semi-Furnished,"Lift, Generator, Security",4.3
SV University Villa,Villa,SV University Township,8500000,4200,2000,Plot Area,4,3,2,1,"SV University Road, Tirupati",0,South-East,Ready to move,"University, Hospital, Market","Spacious villa near university",Fully-Furnished,"Garden, Parking, Solar Power",4.6
Tiruchanur Gardens,Apartment,Tiruchanur Complex,4000000,3300,1210,Super built-up Area,2,2,1,1,"Tiruchanur Road, Tirupati",3,East,Ready to move,"Temple, Bus Stop, Schools","2 BHK with good connectivity",Semi-Furnished,"Security, Power Backup",4.1
Padmavathi Heights,Apartment,Padmavathi Nagar,5500000,3900,1410,Super built-up Area,3,2,2,1,"Padmavathi Nagar, Tirupati",6,North-West,Ready to move,"Shopping Mall, Hospital, Park","Modern 3 BHK apartment",Fully-Furnished,"Gym, Club House, CCTV",4.4
Sri Venkateswara Villa,Villa,SV Enclave,10500000,4800,2200,Plot Area,5,4,2,2,"Chandragiri Road, Tirupati",0,North-East,Ready to move,"International School, Mall","Luxury villa with modern amenities",Fully-Furnished,"Swimming Pool, Smart Home, Garden",4.9
Srinivasa Towers,Apartment,Srinivasa Complex,4800000,3600,1330,Super built-up Area,3,2,1,1,"M.R. Palli, Tirupati",4,South,Ready to move,"College, Market, Hospital","Well-ventilated 3 BHK",Semi-Furnished,"Lift, Security, Children's Play Area",4.2
Balaji Gardens,Villa,Balaji Estate,7500000,4100,1850,Plot Area,4,3,2,1,"Mangalam Road, Tirupati",0,East,Ready to move,"Schools, Temple, Market","Beautiful villa with garden",Fully-Furnished,"Garden, Modular Kitchen, Security",4.7
Tirupati Heights,Apartment,Tirupati Towers,3900000,3100,1250,Super built-up Area,2,2,1,0,"Gandhi Road, Tirupati",2,West,Ready to move,"Bus Stand, Market, Hospital","Affordable 2 BHK flat",Semi-Furnished,"Power Backup, Security",4.0
SVU Staff Quarters,Apartment,University Colony,4200000,3400,1235,Super built-up Area,2,2,1,1,"SV University, Tirupati",1,South-West,Ready to move,"University, Hospital, Market","2 BHK for university staff",Semi-Furnished,"Parking, Security",4.1
Temple View Residency,Apartment,Temple View Society,6200000,4000,1550,Super built-up Area,3,2,2,1,"K.T. Road, Tirupati",7,North,Ready to move,"Temple, Shopping Complex","3 BHK with temple view",Fully-Furnished,"Gym, Club House, Security",4.6
Annarao Colony Flats,Apartment,Annarao Complex,3600000,3000,1200,Super built-up Area,2,2,1,0,"Annarao Circle, Tirupati",3,South,Ready to move,"Market, Schools, Hospital","2 BHK with good location",Semi-Furnished,"Security, Power Backup",4.0
Tirumala Gardens,Villa,Tirumala Estate,8800000,4300,2050,Plot Area,4,3,2,1,"Tirumala Bypass Road, Tirupati",0,North,Ready to move,"Temple, Mall, School","Spacious villa with garden",Fully-Furnished,"Garden, Smart Home, Security",4.7
Krishna Residency,Apartment,Krishna Complex,4100000,3200,1280,Super built-up Area,2,2,1,1,"Leela Mahal, Tirupati",5,East,Ready to move,"Market, Hospital, Park","2 BHK with amenities",Semi-Furnished,"Lift, Generator, Security",4.2
Renigunta Villa,Villa,Renigunta Township,7200000,4000,1800,Plot Area,3,3,2,1,"Renigunta Road, Tirupati",0,South-East,Ready to move,"Airport, Market, School","3 BHK villa near airport",Fully-Furnished,"Garden, Modular Kitchen, CCTV",4.5
SV Gardens,Apartment,SV Complex,5800000,3800,1525,Super built-up Area,3,2,2,1,"SV University Road, Tirupati",4,West,Ready to move,"University, Hospital, Mall","3 BHK near university",Fully-Furnished,"Gym, Club House, Security",4.4
Kapileswara Residency,Apartment,Kapileswara Society,4400000,3300,1335,Super built-up Area,2,2,1,1,"Kapila Theertham Road, Tirupati",2,North-West,Ready to move,"Temple, Market, Park","2 BHK with temple view",Semi-Furnished,"Security, Power Backup",4.1
