property_name,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,additionalRoom,address,floorNum,facing,agePossession,nearbyLocations,description,furnishDetails,features,rating
Sri Balaji Residency,Villa,Sri Balaji Residency,15600000,5200,3000,Plot Area,5,4,3,2,"Tirumala Bypass Road, Tirupati",2,East,Ready to move,"Tirumala, Shopping Mall, Temple","Luxurious 5 BHK villa with modern amenities",Fully-Furnished,"Garden, Gym, Pool",4.8
Sapthagiri Heights,Apartment,Sapthagiri Heights,7200000,4800,1500,Super built-up Area,3,2,2,1,"Air Bypass Road, Tirupati",4,North-East,Ready to move,"Railway Station, Bus Stand, Market","Spacious 3 BHK with good ventilation",Fully-Furnished,"Gym, Pool, Club House",4.5
Venkatadri Towers,Duplex,Venkatadri Towers,9000000,4500,2000,Super built-up Area,4,3,2,1,"Karakambadi Road, Tirupati",1,South,Ready to move,"IT Park, Schools, Hospitals","Modern 4 BHK duplex with city view",Semi-Furnished,"Terrace Garden, Parking",4.6
Sri Padmavati Villa,Villa,Sri Padmavati Villa,12600000,4200,3000,Plot Area,5,4,3,2,"Renigunta Road, Tirupati",1,East,Ready to move,"Airport, Railway Junction, Markets","Premium 5 BHK villa with garden",Fully-Furnished,"Garden, Modular Kitchen",4.7
Alipiri Residency,Apartment,Alipiri Residency,6000000,4000,1500,Super built-up Area,3,2,1,1,"Alipiri Road, Tirupati",2,West,Ready to move,"Tirumala Footway, Bus Stand, Temple","Well-maintained 3 BHK",Semi-Furnished,"Security, Parking",4.3
Tirumala View Homes,Duplex,Tirumala View Homes,8400000,4800,1750,Super built-up Area,4,3,2,1,"Kapila Theertham Road, Tirupati",1,North,Ready to move,"Temple, Park, Schools","Elegant 4 BHK with scenic view",Fully-Furnished,"Terrace, Garden",4.5
SV University Villa,Villa,SV University Villa,13800000,4600,3000,Plot Area,5,4,3,2,"SV University Road, Tirupati",2,South-East,Ready to move,"University, Library, Hospital","Luxurious 5 BHK villa",Fully-Furnished,"Garden, Study Room",4.7
Tiruchanur Gardens,Apartment,Tiruchanur Gardens,5400000,4500,1200,Super built-up Area,2,2,1,1,"Tiruchanur Road, Tirupati",3,East,Ready to move,"Temple, Market, Bus Stop","Cozy 2 BHK apartment",Semi-Furnished,"Garden View, Parking",4.2
Padmavathi Heights,Duplex,Padmavathi Heights,9600000,4800,2000,Super built-up Area,4,3,2,2,"Padmavathi Nagar, Tirupati",1,North,Ready to move,"Shopping Complex, Schools, Park","Spacious 4 BHK duplex",Fully-Furnished,"Terrace Garden, Gym",4.6
Sri Venkateswara Villa,Villa,Sri Venkateswara Villa,15000000,5000,3000,Plot Area,5,4,3,2,"Chandragiri Road, Tirupati",2,West,Ready to move,"Fort, Museum, Market","Premium 5 BHK villa",Fully-Furnished,"Garden, Pool",4.8
Srinivasa Towers,Apartment,Srinivasa Towers,6300000,4200,1500,Super built-up Area,3,2,2,1,"M.R. Palli, Tirupati",5,South,Ready to move,"Shopping Mall, Hospital, Schools","Modern 3 BHK apartment",Fully-Furnished,"Gym, Security",4.4
Balaji Gardens,Duplex,Balaji Gardens,8100000,4500,1800,Super built-up Area,4,3,2,1,"Mangalam Road, Tirupati",1,East,Ready to move,"Temple, Market, Park","Beautiful 4 BHK duplex",Semi-Furnished,"Garden View, Parking",4.5
Tirupati Heights,Apartment,Tirupati Heights,7650000,5100,1500,Super built-up Area,3,2,2,1,"Gandhi Road, Tirupati",1,North,Ready to move,"Central Market, Bus Stand, Hospital","Premium 3 BHK",Fully-Furnished,"Gym, Pool",4.7
SVU Staff Quarters,Apartment,SVU Staff Quarters,4920000,4100,1200,Super built-up Area,2,2,1,1,"SV University, Tirupati",2,South,Ready to move,"University, Library, Sports Complex","Standard 2 BHK",Semi-Furnished,"Parking, Garden",4.0
Temple View Residency,Villa,Temple View Residency,14100000,4700,3000,Plot Area,5,4,3,2,"K.T. Road, Tirupati",1,East,Ready to move,"Temple, Market, Schools","Spacious 5 BHK villa",Fully-Furnished,"Garden, Gym",4.7
Annarao Colony Flats,Apartment,Annarao Colony Flats,5520000,4600,1200,Super built-up Area,2,2,1,1,"Annarao Circle, Tirupati",3,West,Ready to move,"Shopping Complex, Hospital, Park","Well-maintained 2 BHK",Semi-Furnished,"Parking, Security",4.2
Tirumala Gardens,Villa,Tirumala Gardens,15900000,5300,3000,Plot Area,5,4,3,2,"Tirumala Bypass Road, Tirupati",2,North,Ready to move,"Temple, Shopping Mall, Park","Luxury 5 BHK villa",Fully-Furnished,"Garden, Pool, Gym",4.9
Krishna Residency,Duplex,Krishna Residency,9600000,4800,2000,Super built-up Area,4,3,2,1,"Leela Mahal, Tirupati",1,South,Ready to move,"Theatre, Market, Hospital","Modern 4 BHK duplex",Fully-Furnished,"Terrace Garden, Gym",4.6
Renigunta Villa,Villa,Renigunta Villa,12900000,4300,3000,Plot Area,5,4,3,2,"Renigunta Road, Tirupati",1,East,Ready to move,"Airport, Railway Station, Market","Spacious 5 BHK villa",Fully-Furnished,"Garden, Pool",4.7
SV Gardens,Apartment,SV Gardens,5040000,4200,1200,Super built-up Area,2,2,1,1,"SV University Road, Tirupati",4,North,Ready to move,"University, Hospital, Library","Comfortable 2 BHK",Semi-Furnished,"Garden View, Parking",4.1
Kapileswara Residency,Duplex,Kapileswara Residency,9800000,4900,2000,Super built-up Area,4,3,2,2,"Kapila Theertham Road, Tirupati",1,West,Ready to move,"Temple, Park, Schools","Premium 4 BHK duplex",Fully-Furnished,"Terrace Garden, Gym",4.8
